episode,topology,total_reward,average_reward,congestion_loss,failure_loss,congestion_epsilon,failure_epsilon,steps
1,Abilene.gml,3.9536960600815965,0.3953696060081596,0.0,0.0,1.0,1.0,10
2,Abilene.gml,3.963316788749618,0.3963316788749618,0.0,0.0,1.0,1.0,10
3,Abilene.gml,3.9554746768746822,0.39554746768746823,0.0,0.0,1.0,1.0,10
4,Abilene.gml,3.964965342599403,0.3964965342599403,0.046121870814305216,0.03562559332284662,0.9558895783575597,0.9558895783575597,10
5,Abilene.gml,3.9650598218394753,0.3965059821839475,0.039868727698922156,0.03527586758136749,0.9091562615825302,0.9091562615825302,10
6,Abilene.gml,3.963248545513837,0.39632485455138367,0.1423979640007019,0.06678039897233248,0.8647077305675338,0.8647077305675338,10
7,Abilene.gml,3.957225123600721,0.3957225123600721,0.15407847687602044,0.10689209625124932,0.8224322824348486,0.8224322824348486,10
8,Abilene.gml,3.961694392358954,0.39616943923589537,0.2356378048658371,0.1779652200639248,0.7822236754458713,0.7822236754458713,10
9,Abilene.gml,3.9680341846313096,0.39680341846313094,0.3338243395090103,0.1829165019094944,0.7439808620067382,0.7439808620067382,10
10,Abilene.gml,3.9573182818219634,0.3957318281821963,0.4164589911699295,0.247650658339262,0.7076077347272662,0.7076077347272662,10
11,Abilene.gml,3.9630255807467325,0.39630255807467324,0.3899034172296524,0.3091397985816002,0.6730128848950395,0.6730128848950395,10
12,Abilene.gml,3.9679562338726075,0.39679562338726077,0.4784739285707474,0.29936427567154167,0.6401093727576664,0.6401093727576664,10
13,Abilene.gml,3.9599715823366317,0.39599715823366316,0.5103913247585297,0.32967411577701566,0.6088145090359074,0.6088145090359074,10
14,Abilene.gml,3.9616714516408633,0.39616714516408635,0.5758978635072708,0.456659272313118,0.5790496471185967,0.5790496471185967,10
15,Abilene.gml,3.966334654617346,0.3966334654617346,0.480474391579628,0.5083107560873031,0.5507399854171277,0.5507399854171277,10
16,Abilene.gml,3.9619691528483396,0.396196915284834,0.751785159111023,0.4678846038877964,0.5238143793828016,0.5238143793828016,10
17,Abilene.gml,3.9665054882268325,0.39665054882268325,0.6727472825121368,0.5894690006971359,0.4982051627146237,0.4982051627146237,10
18,Abilene.gml,3.958549384615764,0.39585493846157643,0.6516812324523926,0.5538126438856125,0.4738479773082268,0.4738479773082268,10
19,Abilene.gml,3.9570136923860115,0.39570136923860116,0.48221205919981003,0.6949163109064103,0.4506816115185697,0.4506816115185697,10
20,Abilene.gml,3.965126825793655,0.3965126825793655,0.5711845338344574,0.6974905446171761,0.4286478463299511,0.4286478463299511,10
21,Abilene.gml,3.9547407426513974,0.39547407426513975,0.7050494502531365,0.8735384568572044,0.40769130904675194,0.40769130904675194,10
22,Abilene.gml,3.9710042928302025,0.39710042928302025,0.6304590997286141,0.7878104967996478,0.3877593341372176,0.3877593341372176,10
23,Abilene.gml,3.9757469162627483,0.39757469162627485,0.7936038047075271,0.9381590858101845,0.36880183088056995,0.36880183088056995,10
24,Abilene.gml,3.961794942985954,0.3961794942985954,0.9689579129219055,0.7164948046207428,0.3507711574848344,0.3507711574848344,10
25,Abilene.gml,3.9679952069830393,0.39679952069830393,0.9235933244228363,0.7999473227187991,0.33362200135903064,0.33362200135903064,10
26,Abilene.gml,3.9679455822416316,0.39679455822416315,0.9078842237591743,0.8587353110313416,0.3173112652388396,0.3173112652388396,10
27,Abilene.gml,3.969458465721419,0.39694584657214194,1.1778339326381684,0.8108074188232421,0.3017979588795719,0.3017979588795719,10
28,Abilene.gml,3.972702925266231,0.3972702925266231,1.0097876768559217,0.7940066069364548,0.28704309604425327,0.28704309604425327,10
29,Abilene.gml,3.9602400474163937,0.39602400474163935,0.9975862205028534,0.9898359328508377,0.2730095965279488,0.2730095965279488,10
30,Abilene.gml,3.9727126417034513,0.39727126417034514,0.7937697898596525,0.9194495648145675,0.25966219297210513,0.25966219297210513,10
31,Abilene.gml,3.974182856012351,0.3974182856012351,0.8071548253297806,0.9489854243583977,0.24696734223472733,0.24696734223472733,10
